show up,現れる/姿を見せる
turn up,現れる/姿を見せる
break up,(会議などが)終わる
come about,起こる/生じる
come out,出版される
come to,意識を取り戻す
hold out,持ちこたえる
stand out,目立つ
turn out,~であることがわかる
cut in,(話しなどに)口をはさむ/割り込む
break in,(話しなどに)口をはさむ/割り込む
pass away,亡くなる/死ぬ
stay up,寝ずに起きている
watch out,気を付ける/用心する
set in,(季節･天候などが)始まる
set out,出発する
go off,(爆弾などが)爆発する
take off,(飛行機などが)離陸する
pull up,(車などが)止まる
bring about,~を引き起こす/~をもたらす
bring up,~を育てる
make up,~をでっちあげる/~を作り上げる
make out,~を理解する
figure out,~を理解する
pick up,~を車で迎えに行く/~を車に乗せる
pick out,~を選ぶ
give up,~をあきらめる/~を捨てる
look up,(辞書やコンピュータなどを使って)調べる
carry out,~を実行する/~を成し遂げる
carry on,~を続ける/~を進める
cut down,~を減らす/~を切り詰める
leave ~ behind,~を置き忘れる/~をあとに残す
leave out,~を除外する/~を省く/~を削る/~を抜かす
rule out,(規定などによって)~を除外する/~を否定する
take in,~を理解する
take on,(仕事・責任など)を引き受ける
take over,(事業・職務など)を引き継ぐ
take up,(時間・場所など)を取る/占める
show off,~を見せびらかす
lay off,~を一時解雇する
put aside,~をたくわえる/~を取っておく
put away,~を片付ける
put off,~を延期する
put on,~を着る/身に付ける
try on,~を試しに着てみる
wear out,~を疲れ果てさせる
put down,(考え・名前など)を書きとめる
hold back,(感情など)を抑える/控える
set up,~を設立する
see ~ off,~を見送る
hand in,~を提出する
turn in,~を提出する
turn on,(テレビ・ラジオ・電灯など)をつける/(ガス・水道など)を出す
turn off,(テレビ・ラジオ・電灯など)を消す/(ガス・水道など)を止める
turn down,~を拒絶する
work out,(問題など)を解く/解決する
keep up,~を維持する
call off,~を中止する/~を取り消す
call up,~に電話をかける
let ~ down,(人)を失望させる
take ~ off,~の期間休みを取る
ask for,~を求める/~をくれと頼む
look after,~の世話をする
care for,~を好む
look for,~を探す
take after,~に似ている
look into,(問題・事件など)を調べる
look over,(書類など)にざっと目を通す
take to,~を好きになる
account for,(人が)~の理由を説明する
add to,~を増やす/増す
tell on,(人・健康など)に堪える/影響する
answer for,~の責任を負う
insist on,~を強く主張する/~と言い張る
persist in,~をあくまで主張する/~に固執する
stick to,~に固執する/~にくっつく
cling to,~に固執する/~にくっつく
stand for,~を表す/~を意味する
stand by,~の味方をする/~を支持する
call for,~を必要とする/~を要求する
call on,(人)を訪ねる
result in,~という結果になる
result from,~の結果として起こる
consist in,~にある
consist of,~から成り立つ
come by,~を手に入れる
run into,(人)に偶然出会う/～にぶつかる
come across,(物)を偶然見つける/(人)に偶然出会う
depend on,~に頼る/~を当てにする
rely on,~に頼る/~を当てにする
count on,~に頼る/~を当てにする
turn to,~に頼る/~を当てにする
depend on,~次第である/~によって決まる
deal with,~を扱う/~に対処する
cope with,~によく対処する/~をうまく処理する
aim at,~を狙う/~を目指す
pay for,~の代金を支払う
agree with,(人)と意見が一致する/(人の意見・考え)に賛同する
agree to,(計画・提案など)に同意する
yeild to,~に屈する/~に負ける
major in,~を専攻する/~を専門にする
amount to,総計~になる
long for,~を切望する/~にあこがれる
apply for,~を申し込む/~を求める
get over,(困難など)を乗り越える
fill out,~に必要事項を記入する
fall on,(記念日などが)~にあたる
approve of,~に賛成する/~を良いと思う
go through,~を経験する
believe in,~の存在を信じる/~の価値を信じる
make for,~の方へ進んでいく/向かう
hear from,~から便りがある/連絡がある
hear of,~の噂を耳にする
succeed in,~に成功する
succeed to,~を相続する/~のあとを継ぐ
refrain from,~を慎む/~を差し控える
break into,~に押し入る
adapt to,(環境など)に順応する
occur to,(考えなどが)ふと~の心に浮かぶ
do without,~なしで済ます
dispense with,~なしで済ます
part with,~を手放す
lead to,~に繋がる/~を引き起こす
die of,~が原因で死ぬ
send for,~を呼びにやる/~に来るように頼む
get to,~に到着する
refer to,~を参照する
resort to,(手段など)に訴える/~に頼る
set about,~に取り掛かる/~を始める
suffer from,(病気など)で苦しむ/(病気)にかかる
put up with,~を我慢する
do away with,(規則･慣行など)を廃止する
look down on,~を見下す/~を軽蔑する
make up for,~の埋め合わせをする/~を償う
speak ill of,~のことを悪く言う/~をけなす
speak well of,~のことを良く言う/～を褒める
go in for,(競技)に参加する/(試験)を受ける
live up to,(期待など)に沿う/応える
stand up for,~を擁護する/~を支持する
put up at,~に泊まる
go on with,~を続ける
get down to,~に取り掛かる/~に本気で取り組む
come up with,(考え･答えなど)を思いつく
catch up with,~に追いつく
keep up with,~に遅れずに付いて行く
get through with,(仕事など)をやり終える
drop in on,~をひょっこり訪れる/~に立ち寄る
get along with,~とうまくやっていく/やっている
give in to,~に屈する/~に負ける
come home to,~にしみじみ堪える/~に痛切に感じられる
end up doing,最後には~することになる
run out of,~を使い果たす/~を切らす
take A for B,AをBだと思う/AをBと間違える
exchange A for B,AをBと交換する
congraturate A on B,A(人)のB(成功･幸福など)を祝う
help A with B,A(人)のBを手伝う
owe A to B,AはBのおかげである
share A with B,A(物)をB(人)と分け合う/A(物)をB(人)と共有する
leave A for B,Aを出発してBに向かう
spend A on B,A(時間・金)をBに費やす
name A after B,Bの名を取ってAに名前を付ける
devote A toB,A(努力・時間など)をB(仕事・目的など)に捧げる
attribute A toB,AをBのせいにする
take part in,~に参加する
get on A's nerves,Aの神経に障る/Aをいらいらさせる
go out of one's way to do,労を惜しまず~する/わざわざ~する
take the trouble to do,労を惜しまず~する/わざわざ~する
take pride in,~を誇りに思う
catch sight of,
